#,Nombre,Tipo,Localidad,Barrio,Dirección,Celular,Teléfono Fijo,Email,Sitio Web,Instagram,Calificación Google,Reseñas,Score Digital,Oportunidad,Servicio Recomendado,Estado,Contactado,Fecha Contacto,Notas
1,Rincón La Cazuela,Restaurante,Fontibón,El Dorado,"Tv 58 #53-11, El Dorado",3248150002,6015059509,rincon.la.cazuela.col@gmail.com,No,No,2.8,15,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
2,Ajiaco Doña Rosa,Restaurante,Engativá,Engativá,"Cr 2 #133-22, Engativá",3041118999,6015924095,ajiaco.dona.rosa.col@yahoo.com,No,No,3.8,6,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
3,Fritanga Mamá Lola,Restaurante,Rafael Uribe,Bravo Páez,"Cr 137 #75-45, Bravo Páez",3129486464,6014483843,fritanga.mama.lola.bogota@gmail.com,No,No,3.8,4,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
4,Sazón El Paisa,Restaurante,La Candelaria,Egipto,"Cr 177 #39-26, Egipto",3128460936,,sazon.el.paisa.col@gmail.com,No,No,3.8,0,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
5,Ajiaco El Bodegón,Restaurante,Chapinero,Galerías,"Av 79 #102-96, Galerías",3019142583,,ajiaco.el.bodegon@gmail.com,No,No,3.9,2,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
6,Cocina La Abuela,Restaurante,Antonio Nariño,San Antonio,"Cl 52 #111-38, San Antonio",3206969160,6012348361,cocina.la.abuela@yahoo.com,No,No,3.5,2,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
7,Cafetería El Origen,Cafetería,Rafael Uribe,Marruecos,"Cl 155 #31-40, Marruecos",3237909029,6014224444,cafeteria.el.origen.bogota@hotmail.com,No,No,3.6,8,90,ALTA,Redes Sociales + Pautas Digitales,Pendiente,No,,
8,Café El Expreso,Cafetería,Los Mártires,Los Mártires,"Cr 31 #72-33, Los Mártires",3209942300,6013944930,cafe.el.expreso1@gmail.com,No,No,3.6,4,90,ALTA,Redes Sociales + Pautas Digitales,Pendiente,No,,
9,Coffee La Esquina,Cafetería,Barrios Unidos,Provivienda,"Av 6 #101-64, Provivienda",3165147580,6015870527,coffee.la.esquina.bogota@gmail.com,No,No,3.7,1,90,ALTA,Redes Sociales + Pautas Digitales,Pendiente,No,,
10,El Café de La Canela,Cafetería,Usaquén,Santa Bárbara,"Tv 32 #57-66, Santa Bárbara",3227869903,6017928637,el.cafe.de.la.canela95@outlook.com,No,No,2.5,2,90,ALTA,Redes Sociales + Pautas Digitales,Pendiente,No,,
11,El Café de Cafeína,Cafetería,Fontibón,San Pablo,"Tv 145 #116-44, San Pablo",3193408194,6017509399,el.cafe.de.cafeina@gmail.com,No,No,3.7,9,90,ALTA,Redes Sociales + Pautas Digitales,Pendiente,No,,
12,Barber Fresh Cut,Peluquería,Tunjuelito,Tunjuelito,"Dg 19 #79-34, Tunjuelito",3121532511,,barber.fresh.cut@gmail.com,No,No,3.7,8,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
13,Barbería Nueva Imagen,Peluquería,Teusaquillo,Galerías,"Tv 15 #6-46, Galerías",3125370901,,barberia.nueva.imagen@gmail.com,No,No,3.5,5,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
14,Corte Classics,Peluquería,Los Mártires,Eduardo Santos,"Av 33 #97-34, Eduardo Santos",3118669188,,corte.classics2@outlook.com,No,No,3.6,8,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
15,Studio Hair Fresh Cut,Peluquería,San Cristóbal,Los Libertadores,"Tv 112 #129-40 Sur, Los Libertadores",3057988952,,studio.hair.fresh.cut.col@hotmail.com,No,No,3.5,1,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
16,Corte El Experto,Peluquería,Rafael Uribe,Bravo Páez,"Av 68 #21-94 Sur, Bravo Páez",3028124575,,corte.el.experto.col@gmail.com,No,No,3.6,9,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
17,Barber King,Peluquería,Mártires,Ricaurte,"Tv 13 #41-26, Ricaurte",3244734224,,barber.king66@gmail.com,No,No,2.7,0,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
18,Centro de Estética Star,Estética,Ciudad Bolívar,Perdomo,"Dg 42 #108-39 Sur, Perdomo",3109466846,6016292556,centro.de.estetica.star58@gmail.com,No,No,3.7,6,90,ALTA,Página Web + Redes Sociales,Pendiente,No,,
19,Salón Bloom,Estética,Usme,Comuneros,"Cr 64 #137-61 Sur, Comuneros",3037886623,6012572279,salon.bloom86@hotmail.com,No,No,3.7,3,90,ALTA,Página Web + Redes Sociales,Pendiente,No,,
20,Centro de Estética La Perla,Estética,Antonio Nariño,Restrepo,"Dg 89 #58-16, Restrepo",3117243191,,centro.de.estetica.la.pe.col@gmail.com,No,No,3.9,8,90,ALTA,Página Web + Redes Sociales,Pendiente,No,,
21,Salón D'Lujo,Estética,Chapinero,Galerías,"Dg 88 #81-19, Galerías",3051361377,,salon.d.lujo.col@yahoo.com,No,No,2.7,12,90,ALTA,Página Web + Redes Sociales,Pendiente,No,,
22,Studio Star,Estética,Rafael Uribe,Marruecos,"Tv 52 #50-84, Marruecos",3007376373,,studio.star90@gmail.com,No,No,2.8,9,90,ALTA,Página Web + Redes Sociales,Pendiente,No,,
23,Spa Bloom,Estética,Barrios Unidos,El Triunfo,"Dg 165 #26-85, El Triunfo",3117604273,6014186884,spa.bloom.col@outlook.com,No,No,3.3,26,90,ALTA,Página Web + Redes Sociales,Pendiente,No,,
24,Odontología Plus,Clínica dental,Usme,Comuneros,"Av 50 #9-50 Sur, Comuneros",3044908066,6014758989,odontologia.plus.bogota@outlook.com,No,No,3.9,8,90,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
25,Centro Odontológico Express,Clínica dental,Fontibón,El Dorado,"Tv 100 #56-25, El Dorado",3175995472,,centro.odontologico.expr79@yahoo.com,No,No,3.6,6,90,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
26,Clínica Dental Smile,Clínica dental,Barrios Unidos,Doce de Octubre,"Dg 169 #143-35, Doce de Octubre",3044915545,6014212495,clinica.dental.smile81@gmail.com,No,No,3.7,2,90,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
27,Clínica Dental Nueva Sonrisa,Clínica dental,Santa Fe,La Candelaria,"Av 7 #54-52, La Candelaria",3129723274,6016411572,clinica.dental.nueva.son48@yahoo.com,No,No,3.6,8,90,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
28,Clínica Dental Dental Care,Clínica dental,Puente Aranda,Alcázares,"Av 125 #71-37, Alcázares",3193151803,6013976738,clinica.dental.dental.ca71@hotmail.com,No,No,3.8,8,90,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
29,Odontología Express,Clínica dental,Teusaquillo,Marsella,"Cr 116 #57-70, Marsella",3207886458,6015362360,odontologia.express34@gmail.com,No,No,3.6,3,90,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
30,Clínica Dental Sonrisa Sana,Clínica dental,Fontibón,Granjas,"Cr 34 #130-58, Granjas",3112353856,6017948386,clinica.dental.sonrisa.s.bogota@hotmail.com,No,No,2.8,11,90,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
31,Gimnasio Iron,Gimnasio,Teusaquillo,Marsella,"Cr 47 #2-78, Marsella",3035195130,6012481431,gimnasio.iron76@hotmail.com,No,No,2.8,2,90,ALTA,Redes Sociales + Lead Qualifier Bot,Pendiente,No,,
32,CrossFit Elite,Gimnasio,Antonio Nariño,Antonio Nariño,"Tv 7 #60-92, Antonio Nariño",3141599314,6017469521,crossfit.elite@gmail.com,No,No,3.6,9,90,ALTA,Redes Sociales + Lead Qualifier Bot,Pendiente,No,,
33,Funcional Elite,Gimnasio,Engativá,Las Ferias,"Cl 57 #125-26, Las Ferias",3004189314,,funcional.elite73@gmail.com,No,No,3.5,1,90,ALTA,Redes Sociales + Lead Qualifier Bot,Pendiente,No,,
34,Fitness Center,Gimnasio,La Candelaria,Egipto,"Av 13 #96-2, Egipto",3172678475,,fitness.center@hotmail.com,No,No,3.8,5,90,ALTA,Redes Sociales + Lead Qualifier Bot,Pendiente,No,,
